Date,data,cr,7wr
20190417,16671503,-0.000479571,7.59E-05
20190418,16595411,-0.004564196,-0.007669606
20190419,16558400,-0.002230195,-0.004255475
20190420,16625416,0.004047251,-0.003779491
20190421,16810854,0.011153886,0.012637264
20190422,16764816,-0.002738588,0.008661346
20190423,16767954,0.000187178,0.005303036
20190424,16838368,0.00419932,0.010008996
20190425,16893249,0.003259283,0.01794701
20190426,16919004,0.001524574,0.021777708
20190427,16505698,-0.024428507,-0.007200903
20190428,16513256,0.000457902,-0.017702729
20190429,16903789,0.023649667,0.008289563
20190430,17374418,0.027841628,0.036168038
20190501,16946672,-0.024619299,0.006431977
20190502,16725954,-0.013024268,-0.009903068
20190503,16601979,-0.007412133,-0.018737805
20190504,16811523,0.012621628,0.01852845
20190505,16715755,-0.005696569,0.012262815
20190506,16622673,-0.005568519,-0.016630354
20190507,16734402,0.006721482,-0.036836687
20190508,16890167,0.009308071,-0.003334283
20190509,16914654,0.001449778,0.011281868
20190510,17130297,0.012748886,0.031822592
20190511,17086358,-0.002564988,0.016348013
20190512,16993220,-0.005451015,0.016599011
20190513,16987504,-0.000336369,0.021947794
20190514,16902746,-0.004989432,0.010059756
20190515,16977161,0.004402539,0.005150571
20190516,16907166,-0.004122892,-0.000442693
20190517,17155714,0.014700749,0.001483745
20190518,17066767,-0.005184687,-0.001146587
20190519,16984690,-0.004809171,-0.000501965
20190520,17129275,0.008512666,0.008345605
20190521,17309638,0.010529517,0.024072538
20190522,17232930,-0.00443152,0.015065475
20190523,17063356,-0.009840114,0.009238095
20190524,17221478,0.009266759,0.003833358
20190525,17197287,-0.001404699,0.007647611
20190526,17002565,-0.011322832,0.001052418
20190527,17098697,0.00565397,-0.001785131
20190528,17105858,0.000418804,-0.011772632
20190529,17149888,0.002573972,-0.004818797
20190530,17197062,0.002750689,0.007835856
20190531,17266937,0.004063194,0.002639669
20190601,17197924,-0.003996829,3.70E-05
20190602,16943396,-0.014799926,-0.003480004
20190603,17015326,0.004245312,-0.004875869
20190604,17190031,0.010267508,0.004920712
20190605,17285345,0.005544725,0.007898419
20190606,17491279,0.011913792,0.017108562
20190607,17178248,-0.017896404,-0.005136348
20190608,17122395,-0.003251379,-0.004391751
20190609,17200613,0.004568169,0.015180959
20190610,17265326,0.00376225,0.014692637
20190611,17346998,0.004730406,0.009131281
20190612,17440507,0.0053905,0.008976506
20190613,17566237,0.007209079,0.00428545
20190614,17696191,0.007397942,0.030151096
20190615,17441333,-0.014401856,0.01862695
20190616,17401048,-0.002309743,0.011652782
20190617,17349679,-0.002952064,0.004885688
20190618,17365505,0.000912178,0.00106687
20190619,17374735,0.000531513,-0.003771221
20190620,17437311,0.003601551,-0.007339421
20190621,17511438,0.004251057,-0.010440269
20190622,17643565,0.007545183,0.011594985
20190623,17364935,-0.01579216,-0.002075335
20190624,17629066,0.015210595,0.016103295
20190625,17909651,0.015916045,0.031334879
20190626,17675445,-0.013077083,0.017307314
20190627,17327315,-0.019695685,-0.006308083
20190628,17764450,0.025228086,0.014448385
20190629,17516548,-0.013954949,-0.007199055
20190630,17468733,-0.002729705,0.005977448
20190701,18039189,0.032655831,0.023264023
20190702,17529988,-0.028227488,-0.021198794
20190703,17592448,0.003563037,-0.00469561
20190704,17718448,0.007162164,0.022573203
20190705,17600142,-0.006676996,-0.009249259
20190706,17345095,-0.01449119,-0.009788059
20190707,17401569,0.003255906,-0.003844812
